Palindrome Dates of 21st Century: 
DD / MM / YYYY 
10 / 02 / 2001 
20 / 02 / 2002 
01 / 02 / 2010 
11 / 02 / 2011 
21 / 02 / 2012 
02 / 02 / 2020 
12 / 02 / 2021 
22 / 02 / 2022 
03 / 02 / 2030 
13 / 02 / 2031 
23 / 02 / 2032 
04 / 02 / 2040 
14 / 02 / 2041 
24 / 02 / 2042 
05 / 02 / 2050 
15 / 02 / 2051 
25 / 02 / 2052 
06 / 02 / 2060 
16 / 02 / 2061 
26 / 02 / 2062 
07 / 02 / 2070 
17 / 02 / 2071 
27 / 02 / 2072 
08 / 02 / 2080 
18 / 02 / 2081 
28 / 02 / 2082 
09 / 02 / 2090 
19 / 02 / 2091 
